anno_id,lon,lat,timestamp,short_name
1,11.686221999999999,52.98930899756537,2013-04-24T03:25:00Z,H4799
2,11.686725000000003,52.98920799756531,2013-04-24T03:30:00Z,H4799
3,11.687050000000005,52.989310997565404,2013-04-24T03:35:00Z,H4799
4,11.686909999999997,52.989150997565375,2013-04-24T03:40:00Z,H4799
5,11.687187999999999,52.98832799756519,2013-04-24T03:45:00Z,H4799
6,11.686824999999995,52.988334997565154,2013-04-24T03:50:00Z,H4799
7,11.685996999999995,52.98891199756532,2013-04-24T03:55:00Z,H4799
8,11.674898999999996,52.9845889975645,2013-04-24T04:25:00Z,H4799
9,11.686252999999995,52.98858499756527,2013-04-24T05:15:00Z,H4799
10,11.686860999999997,52.98926499756532,2013-04-24T05:20:00Z,H4799
11,11.687191999999996,52.98902899756531,2013-04-24T05:25:00Z,H4799
12,11.687005999999995,52.98882999756529,2013-04-24T05:30:00Z,H4799
13,11.687082,52.98851299756526,2013-04-24T05:35:00Z,H4799
14,11.687062999999998,52.98835099756518,2013-04-24T05:40:00Z,H4799
15,11.685939999999999,52.98867199756523,2013-04-24T05:45:00Z,H4799
16,11.674950000000003,52.98466499756445,2013-04-24T06:15:00Z,H4799
17,11.673179000000003,52.9852969975646,2013-04-24T06:45:00Z,H4799
18,11.674978999999999,52.98463599756447,2013-04-24T10:05:00Z,H4799
19,11.680908000000008,52.98399699756434,2013-04-24T10:35:00Z,H4799
20,11.690724999999995,52.991014997565685,2013-04-24T11:00:00Z,H4799
21,11.690767000000006,52.99051499756562,2013-04-24T11:05:00Z,H4799
22,11.691202000000008,52.990078997565526,2013-04-24T11:10:00Z,H4799
23,11.68972,52.99572699756663,2013-04-24T11:20:00Z,H4799
24,11.689802000000002,52.999351997567295,2013-04-24T11:30:00Z,H4799
25,11.69005,52.99922499756728,2013-04-24T11:35:00Z,H4799
26,11.689877000000005,52.99921899756723,2013-04-24T13:00:00Z,H4799
27,11.689723000000006,52.99928099756731,2013-04-24T13:05:00Z,H4799
28,11.689392000000002,52.9993749975673,2013-04-24T13:10:00Z,H4799
29,11.689519000000006,52.999245997567286,2013-04-24T13:15:00Z,H4799
30,11.689946000000003,52.9992179975673,2013-04-24T13:20:00Z,H4799
31,11.690142999999996,52.99909199756725,2013-04-24T13:25:00Z,H4799
32,11.690035999999996,52.99923299756731,2013-04-24T13:30:00Z,H4799
33,11.690054000000002,52.999557997567294,2013-04-24T13:35:00Z,H4799
34,11.689617999999998,52.99965899756733,2013-04-24T13:40:00Z,H4799
35,11.689378999999995,52.999502997567326,2013-04-24T13:46:00Z,H4799
36,11.689456000000005,52.99960299756734,2013-04-24T13:50:00Z,H4799
37,11.690171000000003,52.99951699756731,2013-04-24T13:55:00Z,H4799
38,11.690121999999999,52.99916199756726,2013-04-24T14:00:00Z,H4799
39,11.689975999999994,52.999325997567304,2013-04-24T14:05:00Z,H4799
40,11.689570999999997,52.999335997567314,2013-04-24T14:10:00Z,H4799
41,11.689440000000003,52.99954999756736,2013-04-24T14:15:00Z,H4799
42,11.688239,52.98856299756519,2013-04-24T14:55:00Z,H4799
43,11.688225000000001,52.987826997565136,2013-04-24T15:00:00Z,H4799
44,11.688899000000003,52.9878579975651,2013-04-24T15:05:00Z,H4799
45,11.688815999999997,52.98818199756519,2013-04-24T15:10:00Z,H4799
46,11.688901000000003,52.98828299756522,2013-04-24T15:15:00Z,H4799
47,11.688799999999993,52.98802399756514,2013-04-24T15:20:00Z,H4799
48,11.687634,52.988212997565185,2013-04-24T15:35:00Z,H4799
49,11.687762000000003,52.98873499756531,2013-04-24T15:40:00Z,H4799
50,11.688132000000003,52.988292997565196,2013-04-24T15:45:00Z,H4799
51,11.688288,52.988132997565195,2013-04-24T15:50:00Z,H4799
52,11.688537999999994,52.98824899756515,2013-04-24T15:55:00Z,H4799
53,11.688346,52.98839699756519,2013-04-24T16:00:00Z,H4799
54,11.688382999999995,52.987852997565106,2013-04-24T16:05:00Z,H4799
55,11.688651000000005,52.987828997565124,2013-04-24T16:10:00Z,H4799
56,11.675109000000003,52.98468199756446,2013-04-24T16:15:00Z,H4799
57,11.688283,52.98929799756539,2013-04-24T16:40:00Z,H4799
58,11.687766999999994,52.98862799756526,2013-04-24T16:46:00Z,H4799
59,11.687677999999996,52.98823699756514,2013-04-24T16:50:00Z,H4799
60,11.688253000000003,52.98782699756514,2013-04-24T16:55:00Z,H4799
